KOI,disposition,period,ntransits,ncontams,nmadfailed,nexcluded,orig_nmoons,orig_frac_wmoons,nmoons_agth,frac_wmoons_agth,agth,median_agreement,fp_nexcluded,fp_median_agreement,FP_rate
KOI-22.01,CONFIRMED,7.891448838,86,0,1,0,45,0.523255814,7,0.081395349,0.95,0.882352941,0,0.263157895,0
KOI-41.01,CONFIRMED,12.81590421,51,51,51,0,30,0.588235294,5,0.098039216,0.95,0.764705882,0,0.411764706,0.020618557
KOI-41.02,CONFIRMED,6.88707073,92,89,92,0,31,0.336956522,2,0.02173913,0.95,0.375,0,0.333333333,0
KOI-41.03,CONFIRMED,35.3331932,19,19,19,0,7,0.368421053,1,0.052631579,0.95,0.529411765,0,0.294117647,0
KOI-42.01,CONFIRMED,17.83367834,15,0,15,0,11,0.733333333,3,0.2,0.95,0.764705882,0,0.764705882,0.189189189
KOI-46.02,CONFIRMED,6.02977241,97,93,0,0,5,0.051546392,0,0,0.95,0.444444444,0,0.455555556,0
KOI-49.01,CONFIRMED,8.31377304,63,0,61,0,59,0.936507937,2,0.031746032,0.95,0.6,0,0.444444444,0.047619048
KOI-63.01,CONFIRMED,9.43414171,38,0,38,0,36,0.947368421,3,0.078947368,0.95,0.708333333,0,0.555555556,0.071428571
KOI-70.01,CONFIRMED,10.85409593,73,73,31,0,44,0.602739726,10,0.136986301,0.95,0.764705882,0,0.6,0.149659864
KOI-70.03,CONFIRMED,77.6114427,8,8,2,0,4,0.5,0,0,0.95,0.888888889,0,0.294117647,0.0375
KOI-70.04,CONFIRMED,6.09855603,129,129,48,0,45,0.348837209,0,0,0.95,0.294117647,0,0.25,0.022727273
KOI-70.05,CONFIRMED,19.5776073,42,42,18,0,15,0.357142857,1,0.023809524,0.95,0.222222222,0,0.333333333,0
KOI-72.02,CONFIRMED,45.29422297,15,15,12,0,10,0.666666667,7,0.466666667,0.95,1,0,0.294117647,0.016949153
KOI-75.01,CANDIDATE,105.8817667,8,0,8,0,5,0.625,3,0.375,0.95,0.916666667,0,0.258169935,0.032258065
KOI-76.01,CANDIDATE,77.4794704,12,0,12,0,12,1,4,0.333333333,0.95,0.888888889,0,0.444444444,0.063492063
KOI-82.01,CONFIRMED,16.14567193,45,45,35,0,27,0.6,11,0.244444444,0.95,0.777777778,0,0.294117647,0.010989011
KOI-82.02,CONFIRMED,10.31174786,65,65,41,0,44,0.676923077,0,0,0.95,0.444444444,0,0.272058824,0.015384615
KOI-82.03,CONFIRMED,27.4536146,24,24,21,0,18,0.75,0,0,0.95,0.388888889,0,0.333333333,0.012658228
KOI-82.04,CONFIRMED,7.07136119,95,95,65,0,61,0.642105263,3,0.031578947,0.95,0.333333333,0,0.333333333,0.010416667
KOI-82.05,CONFIRMED,5.28691996,128,128,90,0,85,0.6640625,4,0.03125,0.95,0.333333333,0,0.31372549,0.0078125
KOI-84.01,CONFIRMED,9.286964466,54,0,3,0,35,0.648148148,2,0.037037037,0.95,0.757352941,0,0.647058824,0.2
KOI-85.01,CONFIRMED,5.859935955,153,153,150,0,121,0.790849673,26,0.169934641,0.95,0.777777778,0,0.466666667,0.038216561
KOI-85.03,CONFIRMED,8.13121389,105,105,101,0,81,0.771428571,2,0.019047619,0.95,0.444444444,0,0.333333333,0.045045045
KOI-87.01,CONFIRMED,289.864067,1,0,1,0,0,0,0,0,0.95,0.777777778,0,0.222222222,0
KOI-89.01,CONFIRMED,84.6877524,7,0,0,0,5,0.714285714,3,0.428571429,0.95,1,0,0.333333333,0.032786885
KOI-89.02,CANDIDATE,207.5829306,4,0,0,0,4,1,2,0.5,0.95,0.944444444,0,0.411764706,0
KOI-92.01,CANDIDATE,65.7045275,16,0,10,0,13,0.8125,3,0.1875,0.95,0.823529412,0,0.294117647,0.072164948
KOI-94.01,CONFIRMED,22.34296483,3,3,0,0,1,0.333333333,1,0.333333333,0.95,1,0,0.573529412,0
KOI-94.02,CONFIRMED,10.42367744,8,8,2,0,4,0.5,2,0.25,0.95,0.826797386,0,0.625,0.2
KOI-94.03,CONFIRMED,54.31996151,2,2,0,0,2,1,1,0.5,0.95,0.764705882,0,0.222222222,0
KOI-98.01,CONFIRMED,6.790120801,130,0,129,0,98,0.753846154,62,0.476923077,0.95,0.894736842,0,0.647058824,0.15625
KOI-99.01,CANDIDATE,2190.701035,1,0,0,0,0,0,0,0,0.95,1,0,0.294117647,0
KOI-100.01,CANDIDATE,9.9664004,96,0,96,0,93,0.96875,10,0.104166667,0.95,0.666666667,0,0.444444444,0.015306122
KOI-103.01,CANDIDATE,14.91095177,32,0,28,0,22,0.6875,3,0.09375,0.95,0.764705882,0,0.555555556,0.134328358
KOI-105.01,CONFIRMED,8.981014925,89,0,0,0,15,0.168539326,1,0.011235955,0.95,0.625,0,0.589473684,0.133333333
KOI-107.01,CONFIRMED,7.256962446,129,0,5,0,74,0.573643411,15,0.11627907,0.95,0.75,0,0.294117647,0.014925373
KOI-108.01,CONFIRMED,15.96532718,58,3,1,0,37,0.637931034,8,0.137931034,0.95,0.826388889,0,0.405882353,0.093220339
KOI-108.02,CONFIRMED,179.609803,4,3,0,0,3,0.75,2,0.5,0.95,1,0,0.411764706,0.008695652
KOI-110.01,CONFIRMED,9.940666412,70,0,1,0,37,0.528571429,9,0.128571429,0.95,0.77124183,0,0.368421053,0.072463768
KOI-111.01,CONFIRMED,11.42755098,69,38,0,0,39,0.565217391,9,0.130434783,0.95,0.882352941,0,0.375,0
KOI-111.02,CONFIRMED,23.66834635,33,32,0,0,22,0.666666667,12,0.363636364,0.95,0.882352941,0,0.529411765,0
KOI-111.03,CONFIRMED,51.75530504,15,15,0,0,11,0.733333333,4,0.266666667,0.95,0.777777778,0,0.529411765,0.011764706
KOI-112.01,CONFIRMED,51.07926451,18,18,0,0,9,0.5,1,0.055555556,0.95,0.891812865,0,0.5,0.054545455
